Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Lonzo Ball (36791328),Lonzo Ball,36791328,PG/G/UTIL,3900,CHI@WAS 11/26/2024 07:00PM ET,CHI,14.33
SG/SF,Andre Jackson Jr. (36791323),Andre Jackson Jr.,36791323,SG/SF/F/G/UTIL,3900,MIL@MIA 11/26/2024 07:30PM ET,MIL,10.86
C,Christian Wood (36791321),Christian Wood,36791321,C/UTIL,3900,LAL@PHX 11/26/2024 10:00PM ET,LAL,0
PF,Torrey Craig (36791331),Torrey Craig,36791331,PF/F/UTIL,3800,CHI@WAS 11/26/2024 07:00PM ET,CHI,8.6
SG/SF,Pelle Larsson (36791338),Pelle Larsson,36791338,SG/SF/F/G/UTIL,3700,MIL@MIA 11/26/2024 07:30PM ET,MIA,10.92
PF/C,Oso Ighodaro (36791334),Oso Ighodaro,36791334,PF/C/F/UTIL,3700,LAL@PHX 11/26/2024 10:00PM ET,PHX,11.59
C,Jalen Smith (36791343),Jalen Smith,36791343,C/UTIL,3600,CHI@WAS 11/26/2024 07:00PM ET,CHI,17.05
PG/SG,Alec Burks (36791345),Alec Burks,36791345,PG/SG/G/UTIL,3600,MIL@MIA 11/26/2024 07:30PM ET,MIA,16.29
SG,Cam Reddish (36791349),Cam Reddish,36791349,SG/G/UTIL,3600,LAL@PHX 11/26/2024 10:00PM ET,LAL,12.98
PF,Nikola Jovic (36791352),Nikola Jovic,36791352,PF/F/UTIL,3500,MIL@MIA 11/26/2024 07:30PM ET,MIA,16.5
PG,Delon Wright (36791358),Delon Wright,36791358,PG/G/UTIL,3500,MIL@MIA 11/26/2024 07:30PM ET,MIL,9.57
C,Drew Eubanks (36791361),Drew Eubanks,36791361,C/UTIL,3500,SAS@UTA 11/26/2024 09:00PM ET,UTA,13.02
PF,Ryan Dunn (36791355),Ryan Dunn,36791355,PF/F/UTIL,3500,LAL@PHX 11/26/2024 10:00PM ET,PHX,13.82
SF/PF,Pat Connaughton (36791366),Pat Connaughton,36791366,SF/PF/F/UTIL,3400,MIL@MIA 11/26/2024 07:30PM ET,MIL,12.10
PG,Isaiah Collier (36791363),Isaiah Collier,36791363,PG/G/UTIL,3400,SAS@UTA 11/26/2024 09:00PM ET,UTA,12.28
PG,Tre Jones (36791373),Tre Jones,36791373,PG/G/UTIL,3400,SAS@UTA 11/26/2024 09:00PM ET,SAS,12
SF,Max Christie (36791370),Max Christie,36791370,SF/F/UTIL,3400,LAL@PHX 11/26/2024 10:00PM ET,LAL,10.58
PG/SG,Josh Richardson (36791376),Josh Richardson,36791376,PG/SG/G/UTIL,3300,MIL@MIA 11/26/2024 07:30PM ET,MIA,10.25
PG,Rob Dillingham (36791380),Rob Dillingham,36791380,PG/G/UTIL,3300,HOU@MIN 11/26/2024 08:00PM ET,MIN,5.08
SG/SF,Dalen Terry (36791383),Dalen Terry,36791383,SG/SF/F/G/UTIL,3200,CHI@WAS 11/26/2024 07:00PM ET,CHI,10.29
PG,Dru Smith (36791395),Dru Smith,36791395,PG/G/UTIL,3200,MIL@MIA 11/26/2024 07:30PM ET,MIA,10.25
C,Luka Garza (36791391),Luka Garza,36791391,C/UTIL,3200,HOU@MIN 11/26/2024 08:00PM ET,MIN,3.31
SG/SF,Johnny Juzang (36791398),Johnny Juzang,36791398,SG/SF/F/G/UTIL,3200,SAS@UTA 11/26/2024 09:00PM ET,UTA,11.19
PG,Monte Morris (36791388),Monte Morris,36791388,PG/G/UTIL,3200,LAL@PHX 11/26/2024 10:00PM ET,PHX,10.15
C,Christian Koloko (36791393),Christian Koloko,36791393,C/UTIL,3200,LAL@PHX 11/26/2024 10:00PM ET,LAL,6.97
SG/SF,Johnny Davis (36791406),Johnny Davis,36791406,SG/SF/F/G/UTIL,3100,CHI@WAS 11/26/2024 07:00PM ET,WAS,5.09
PG/SG,Jevon Carter (36791420),Jevon Carter,36791420,PG/SG/G/UTIL,3100,CHI@WAS 11/26/2024 07:00PM ET,CHI,5.25
